Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,44.849998,45.700001,43.849998,44.650002,44.650002,551552
2019-04-09,44.599998,44.950001,42.000000,42.500000,42.500000,884241
2019-04-10,42.700001,43.299999,42.049999,42.500000,42.500000,1580832
2019-04-11,42.000000,42.000000,40.750000,41.150002,41.150002,1905990
2019-04-12,40.750000,41.400002,40.099998,40.500000,40.500000,1064334
2019-04-15,40.299999,41.650002,40.000000,41.500000,41.500000,521393
2019-04-16,42.000000,43.000000,41.599998,42.200001,42.200001,1167427
2019-04-17,42.000000,42.400002,40.900002,41.349998,41.349998,808546
2019-04-22,40.400002,40.599998,39.000000,40.000000,40.000000,440935
2019-04-23,40.549999,41.400002,39.599998,39.849998,39.849998,1060909
2019-04-24,39.250000,39.900002,38.000000,38.299999,38.299999,1012061
2019-04-25,36.799999,40.000000,35.049999,38.700001,38.700001,1413647
2019-04-26,38.299999,39.000000,38.150002,38.900002,38.900002,1094968
2019-04-29,38.000000,38.000000,36.099998,36.200001,36.200001,538331
2019-04-30,36.299999,37.700001,36.049999,37.450001,37.450001,726308
2019-05-02,38.000000,39.200001,38.000000,39.200001,39.200001,911841
2019-05-03,39.950001,42.000000,39.950001,41.500000,41.500000,1351513
2019-05-06,41.500000,42.549999,41.400002,42.150002,42.150002,1646546
2019-05-07,41.750000,41.750000,40.250000,41.450001,41.450001,665159
2019-05-08,41.599998,43.700001,41.599998,43.000000,43.000000,1646426
2019-05-09,42.700001,44.200001,42.049999,43.000000,43.000000,1572044
2019-05-10,43.099998,44.450001,41.549999,41.799999,41.799999,752154
2019-05-13,41.000000,41.000000,39.500000,40.549999,40.549999,635913
2019-05-14,40.549999,42.299999,40.549999,40.849998,40.849998,671588
2019-05-15,41.500000,42.000000,40.299999,41.799999,41.799999,452310
2019-05-16,42.000000,43.000000,41.700001,42.650002,42.650002,996660
2019-05-17,42.099998,42.599998,41.200001,41.250000,41.250000,1630342
2019-05-20,40.500000,42.299999,40.299999,41.900002,41.900002,510926
2019-05-21,43.799999,45.299999,43.599998,45.000000,45.000000,1371850
2019-05-22,44.250000,46.299999,44.250000,46.150002,46.150002,1001601
2019-05-23,46.200001,46.200001,44.549999,45.849998,45.849998,814854
2019-05-24,46.000000,47.099998,45.799999,46.750000,46.750000,657373
2019-05-27,46.700001,48.500000,46.500000,48.349998,48.349998,286145
2019-05-28,48.000000,48.349998,45.500000,46.500000,46.500000,1218677
2019-05-29,46.599998,46.650002,45.549999,46.150002,46.150002,426014
2019-05-30,47.000000,47.500000,46.400002,46.650002,46.650002,373570
2019-05-31,45.950001,46.750000,45.099998,45.450001,45.450001,388377
2019-06-03,45.500000,46.700001,44.799999,45.599998,45.599998,1002771
2019-06-04,46.500000,47.500000,46.200001,47.450001,47.450001,822649
2019-06-05,47.500000,49.299999,47.099998,49.099998,49.099998,831249
2019-06-06,49.000000,49.500000,48.099998,49.200001,49.200001,409405
2019-06-07,49.099998,49.849998,47.000000,47.150002,47.150002,1194339
2019-06-10,47.000000,48.299999,46.400002,48.049999,48.049999,999605
2019-06-11,49.049999,52.599998,49.049999,52.150002,52.150002,2241519
2019-06-12,54.750000,58.799999,54.750000,58.000000,58.000000,4937142
2019-06-13,56.900002,57.500000,54.500000,56.500000,56.500000,3226401
2019-06-14,56.700001,57.900002,56.000000,56.500000,56.500000,907191
2019-06-18,57.500000,58.049999,55.799999,55.950001,55.950001,1196324
2019-06-19,56.950001,57.500000,55.799999,56.049999,56.049999,1313076
2019-06-21,56.000000,57.400002,56.000000,56.599998,56.599998,1001530
2019-06-24,56.450001,57.349998,55.349998,57.150002,57.150002,751624
2019-06-25,57.099998,57.099998,55.750000,56.150002,56.150002,723863
2019-06-26,56.200001,57.500000,55.000000,55.349998,55.349998,1976906
2019-06-27,55.599998,60.099998,55.599998,60.049999,60.049999,1585203
2019-06-28,59.700001,60.299999,58.299999,59.450001,59.450001,1278636
2019-07-01,60.099998,60.099998,57.650002,58.450001,58.450001,663054
2019-07-02,58.000000,59.299999,58.000000,58.599998,58.599998,792171
2019-07-03,59.000000,59.599998,56.599998,56.849998,56.849998,470328
2019-07-04,56.799999,57.200001,56.500000,57.049999,57.049999,192854
2019-07-05,56.750000,58.299999,56.750000,56.950001,56.950001,720222
2019-07-10,59.000000,60.000000,57.750000,59.200001,59.200001,1607168
2019-07-11,59.750000,60.099998,58.799999,58.900002,58.900002,1530491
2019-07-12,59.000000,61.000000,58.750000,59.700001,59.700001,1335967
2019-07-15,59.900002,60.799999,56.599998,56.849998,56.849998,742522
2019-07-16,57.599998,59.099998,57.049999,59.000000,59.000000,859778
2019-07-17,59.250000,60.250000,58.299999,58.400002,58.400002,1151733
2019-07-18,59.000000,59.599998,55.000000,57.450001,57.450001,654859
2019-07-19,58.000000,58.000000,56.549999,56.599998,56.599998,461015
2019-07-22,55.950001,56.000000,52.000000,53.099998,53.099998,1142749
2019-07-23,53.099998,54.750000,53.099998,54.549999,54.549999,675994
2019-07-24,55.000000,55.950001,55.000000,55.849998,55.849998,518572
2019-07-25,55.799999,56.450001,54.700001,56.349998,56.349998,1006162
2019-07-26,56.400002,58.250000,56.400002,58.000000,58.000000,1221198
2019-07-29,58.099998,59.500000,57.500000,59.049999,59.049999,863040
2019-07-30,58.500000,59.500000,58.049999,58.549999,58.549999,500938
2019-07-31,58.150002,59.500000,57.500000,57.950001,57.950001,550575
2019-08-01,57.900002,60.000000,57.000000,57.299999,57.299999,852911
2019-08-02,56.500000,58.250000,55.700001,57.650002,57.650002,651183
2019-08-05,57.000000,57.250000,55.500000,56.750000,56.750000,716722
2019-08-06,56.049999,57.500000,55.599998,57.299999,57.299999,668277
2019-08-07,57.000000,58.049999,56.349998,56.599998,56.599998,784740
2019-08-08,58.400002,58.599998,57.200001,58.049999,58.049999,996810
2019-08-09,58.500000,64.500000,57.500000,63.500000,63.500000,3412315
2019-08-12,39.000000,45.000000,34.500000,35.000000,35.000000,8269714
2019-08-13,37.000000,40.000000,35.799999,37.799999,37.799999,4679165
2019-08-14,39.000000,40.299999,36.299999,37.750000,37.750000,1572444
2019-08-15,39.000000,42.700001,38.500000,40.900002,40.900002,2648375
2019-08-16,42.599998,43.200001,39.400002,39.549999,39.549999,1083051
2019-08-20,37.500000,37.849998,36.000000,37.000000,37.000000,1621368
2019-08-21,37.500000,37.500000,36.250000,36.900002,36.900002,1575128
2019-08-22,37.299999,38.250000,36.400002,37.750000,37.750000,630279
